,exp_id,model_params,oob_avg_score,oob_median_score,oob_score_ci,oob_std_score,params,test_loss,test_loss_var,trainig_loss,trainig_loss_var
0,0,"{'clf__C': 2904.6610181242827, 'clf__gamma': 0.5391263464279801, 'clf__random_state': 503, 'clf__shrinking': 1, 'clf__tol': 0.008744732545915634, 'selector__bootstrap': 1, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 0, 'selector__min_samples_leaf': 0, 'selector__n_estimators': 93.0, 'selector__random_state': 236}",0.6659446034483613,0.6571862787668259,"(0.6312056737588652, 0.7005973120955699)",0.026015653953965125,"{0: {'clf__C': 2904.6610181242827, 'clf__coef0': 0.0, 'clf__gamma': 0.017970878214266003, 'clf__kernel': 'rbf', 'clf__random_state': 503, 'clf__shrinking': True, 'clf__tol': 0.008744732545915634, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 93, 'selector__random_state': 236}, 1: {'clf__C': 0.00014318155811143593, 'clf__coef0': 0.0, 'clf__gamma': 0.0015946267105353758, 'clf__kernel': 'rbf', 'clf__random_state': 526, 'clf__shrinking': True, 'clf__tol': 5.331777011731634e-05, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': 4, 'selector__max_features': None, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 1414, 'selector__random_state': 107}, 2: {'clf__C': 0.005899387449557289, 'clf__coef0': 0.0, 'clf__gamma': 2.7096055179331862e-06, 'clf__kernel': 'rbf', 'clf__random_state': 86, 'clf__shrinking': True, 'clf__tol': 3.674539059074307e-05, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.7727247346328644, 'selector__min_samples_leaf': 37, 'selector__min_samples_split': 2, 'selector__n_estimators': 126, 'selector__random_state': 301}, 3: {'clf__C': 0.4555422039723497, 'clf__coef0': 0.0, 'clf__gamma': 8.319521298500281e-05, 'clf__kernel': 'rbf', 'clf__random_state': 853, 'clf__shrinking': False, 'clf__tol': 0.0027909568314705706, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.34212702531355066, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 115, 'selector__random_state': 900}}","{0: 0.3666666666666667, 1: 0.4204545454545454, 2: 0.38888888888888884, 3: 0.43333333333333335}","{0: 0.00900062635331997, 1: 0.0015906681857860321, 2: 0.00010459533607681771, 3: 0.00317388248364679}","{0: 0.05056179775280911, 1: 0.36111111111111116, 2: 0.3426966292134831, 3: 0.4111111111111112}","{0: 0.017257953151569288, 1: 0.0015743386033098838, 2: 0.0004449806032097838, 3: 0.003034662075374298}"
1,1,"{'clf__C': 44624.525245550605, 'clf__gamma': 0.0026105577626440377, 'clf__random_state': 433, 'clf__shrinking': 1, 'clf__tol': 0.00027344484018835185, 'selector__bootstrap': 0, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 2, 'selector__min_samples_leaf': 1, 'selector__min_samples_leaf.gt1': 6.0, 'selector__n_estimators': 147.0, 'selector__random_state': 735}",0.6126350959174134,0.5872727272727273,"(0.5692682926829269, 0.6793478260869565)",0.04116584005105526,"{0: {'clf__C': 0.6457932889098997, 'clf__coef0': 0.0, 'clf__gamma': 2.6756996448088205e-05, 'clf__kernel': 'rbf', 'clf__random_state': 74, 'clf__shrinking': False, 'clf__tol': 1.8694359831741963e-05, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 2269, 'selector__random_state': 132}, 1: {'clf__C': 44624.525245550605, 'clf__coef0': 0.0, 'clf__gamma': 8.701859208813458e-05, 'clf__kernel': 'rbf', 'clf__random_state': 433, 'clf__shrinking': True, 'clf__tol': 0.00027344484018835185, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': None, 'selector__min_samples_leaf': 6, 'selector__min_samples_split': 2, 'selector__n_estimators': 147, 'selector__random_state': 735}, 2: {'clf__C': 0.00017221696639168802, 'clf__coef0': 0.0, 'clf__gamma': 0.00018689064209053793, 'clf__kernel': 'rbf', 'clf__random_state': 107, 'clf__shrinking': True, 'clf__tol': 0.006945433877269369, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.0439290832716116, 'selector__min_samples_leaf': 2, 'selector__min_samples_split': 2, 'selector__n_estimators': 209, 'selector__random_state': 734}, 3: {'clf__C': 3.819128576333928e-05, 'clf__coef0': 0.0, 'clf__gamma': 0.004182169334570971, 'clf__kernel': 'rbf', 'clf__random_state': 307, 'clf__shrinking': False, 'clf__tol': 0.00016836481727100394, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.6868599301873679, 'selector__min_samples_leaf': 22, 'selector__min_samples_split': 2, 'selector__n_estimators': 720, 'selector__random_state': 898}}","{0: 0.43333333333333335, 1: 0.3111111111111111, 2: 0.3666666666666667, 3: 0.38888888888888884}","{0: 0.002962962962962962, 1: 0.00519351766826514, 2: 0.0017161514131211126, 3: 0.0016912106474396033}","{0: 0.3370786516853932, 1: 0.3111111111111109, 2: 0.3146067415730337, 3: 0.3876404494382022}","{0: 0.0024825085995813616, 1: 0.004077366185872871, 2: 0.0025125896000785537, 3: 0.0012224246671823937}"
2,0,"{'clf__C': 29.295398547466416, 'clf__gamma': 0.1816089556740832, 'clf__random_state': 988, 'clf__shrinking': 1, 'clf__tol': 0.0003916449174261763}",0.6745904594463857,0.6784469885515183,"(0.6372123317412071, 0.6913207547169811)",0.019506714393065536,"{0: {'clf__C': 0.0009035747819846421, 'clf__coef0': 0.0, 'clf__gamma': 0.9103613150997474, 'clf__kernel': 'rbf', 'clf__random_state': 32, 'clf__shrinking': False, 'clf__tol': 0.0002871719181692575}, 1: {'clf__C': 29.295398547466416, 'clf__coef0': 0.0, 'clf__gamma': 0.0060536318558027736, 'clf__kernel': 'rbf', 'clf__random_state': 988, 'clf__shrinking': True, 'clf__tol': 0.0003916449174261763}, 2: {'clf__C': 9.849629436057668, 'clf__coef0': 0.0, 'clf__gamma': 0.31360843309864134, 'clf__kernel': 'rbf', 'clf__random_state': 69, 'clf__shrinking': False, 'clf__tol': 5.958198748137258e-05}, 3: {'clf__C': 0.0008215924124914868, 'clf__coef0': 0.0, 'clf__gamma': 0.0001257355788649623, 'clf__kernel': 'rbf', 'clf__random_state': 272, 'clf__shrinking': True, 'clf__tol': 0.0003855451340007003}}","{0: 0.43333333333333335, 1: 0.28888888888888886, 2: 0.28888888888888886, 3: 0.375}","{0: 0.00031448038182045, 1: 0.0004140308812025986, 2: 0.0006566223401240249, 3: 0.0007836076817558272}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.3277777777777777}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.00016409558103695104}"
3,1,"{'clf__C': 0.0002860447320467618, 'clf__gamma': 0.006084571548263084, 'clf__random_state': 193, 'clf__shrinking': 1, 'clf__tol': 0.00128213860620624}",0.6298155864946976,0.6259090909090909,"(0.5748780487804879, 0.6973995271867612)",0.03979470684458562,"{0: {'clf__C': 0.067937870536508, 'clf__coef0': 0.0, 'clf__gamma': 0.5507037187628762, 'clf__kernel': 'rbf', 'clf__random_state': 266, 'clf__shrinking': False, 'clf__tol': 5.231809019230796e-05}, 1: {'clf__C': 0.0002860447320467618, 'clf__coef0': 0.0, 'clf__gamma': 0.00020281905160876945, 'clf__kernel': 'rbf', 'clf__random_state': 193, 'clf__shrinking': True, 'clf__tol': 0.00128213860620624}, 2: {'clf__C': 0.22271530457812172, 'clf__coef0': 0.0, 'clf__gamma': 1.6681124769706114e-06, 'clf__kernel': 'rbf', 'clf__random_state': 681, 'clf__shrinking': True, 'clf__tol': 0.0011237567661049235}, 3: {'clf__C': 0.006327113450513198, 'clf__coef0': 0.0, 'clf__gamma': 0.04623435740939404, 'clf__kernel': 'rbf', 'clf__random_state': 737, 'clf__shrinking': True, 'clf__tol': 0.0030988248973241508}}","{0: 0.4555555555555556, 1: 0.3522727272727272, 2: 0.3522727272727272, 3: 0.3522727272727273}","{0: 0.00012521398043283553, 1: 0.002507071273906287, 2: 0.001362913648267181, 3: 0.004078963030983232}","{0: 0.0, 1: 0.3146067415730336, 2: 0.2977528089887641, 3: 0.1292134831460674}","{0: 0.0, 1: 0.0009726744330025824, 2: 0.0016275613660203115, 3: 0.0015077421775977404}"
4,0,"{'clf__C': 18863.55309880673, 'clf__gamma': 0.0022119633911854074, 'clf__random_state': 935, 'clf__shrinking': 1, 'clf__tol': 7.465142377481655e-05, 'selector__num_features': 0, 'selector__num_neighbors': 159847.0}",0.6329612250415305,0.6444444444444444,"(0.6030188679245283, 0.658038825286212)",0.023417847728765036,"{0: {'clf__C': 18863.55309880673, 'clf__coef0': 0.0, 'clf__gamma': 7.373211303951357e-05, 'clf__kernel': 'rbf', 'clf__random_state': 935, 'clf__shrinking': True, 'clf__tol': 7.465142377481655e-05, 'selector__num_features': 0, 'selector__num_neighbors': 159847.0}, 1: {'clf__C': 337.3190477649155, 'clf__coef0': 0.0, 'clf__gamma': 1.4399946248005626e-06, 'clf__kernel': 'rbf', 'clf__random_state': 728, 'clf__shrinking': True, 'clf__tol': 4.018788313836591e-05, 'selector__num_features': 0, 'selector__num_neighbors': 162364.0}, 2: {'clf__C': 72047.92868545426, 'clf__coef0': 0.0, 'clf__gamma': 3.603407693716045e-05, 'clf__kernel': 'rbf', 'clf__random_state': 459, 'clf__shrinking': True, 'clf__tol': 3.725948731907409e-05, 'selector__num_features': 7, 'selector__num_neighbors': 26820.0}, 3: {'clf__C': 1.7775944796784775e-05, 'clf__coef0': 0.0, 'clf__gamma': 0.736405192694784, 'clf__kernel': 'rbf', 'clf__random_state': 547, 'clf__shrinking': False, 'clf__tol': 0.00433179575254907, 'selector__num_features': 8, 'selector__num_neighbors': 11002.0}}","{0: 0.3522727272727272, 1: 0.37777777777777777, 2: 0.3666666666666666, 3: 0.4}","{0: 0.002490859776213303, 1: 6.501604144701761e-05, 2: 0.006380698114704854, 3: 0.003596189164370984}","{0: 0.005617977528089901, 1: 0.3202247191011237, 2: 0.2921348314606742, 3: 0.1966292134831461}","{0: 2.057699757672197e-05, 1: 1.2677487860662437e-05, 2: 0.00015545833348486378, 3: 0.005774568445013156}"
5,1,"{'clf__C': 0.05006341976884374, 'clf__gamma': 0.6184824141439559, 'clf__random_state': 300, 'clf__shrinking': 0, 'clf__tol': 5.030981256720323e-05, 'selector__num_features': 7, 'selector__num_neighbors': 47314.0}",0.6275580940232619,0.6113475177304964,"(0.5786363636363636, 0.7020750988142292)",0.043637848998666115,"{0: {'clf__C': 0.05006341976884374, 'clf__coef0': 0.0, 'clf__gamma': 0.020616080471465195, 'clf__kernel': 'rbf', 'clf__random_state': 300, 'clf__shrinking': False, 'clf__tol': 5.030981256720323e-05, 'selector__num_features': 7, 'selector__num_neighbors': 47314.0}, 1: {'clf__C': 0.0014716871434009115, 'clf__coef0': 0.0, 'clf__gamma': 0.0038412849854888133, 'clf__kernel': 'rbf', 'clf__random_state': 878, 'clf__shrinking': True, 'clf__tol': 9.228627725999573e-05, 'selector__num_features': 5, 'selector__num_neighbors': 15703.0}, 2: {'clf__C': 64206.9630206105, 'clf__coef0': 0.0, 'clf__gamma': 2.6023054243429337e-05, 'clf__kernel': 'rbf', 'clf__random_state': 249, 'clf__shrinking': True, 'clf__tol': 0.0019430596481639772, 'selector__num_features': 2, 'selector__num_neighbors': 7158.0}, 3: {'clf__C': 69.8579382854098, 'clf__coef0': 0.0, 'clf__gamma': 5.619275941792785e-05, 'clf__kernel': 'rbf', 'clf__random_state': 356, 'clf__shrinking': False, 'clf__tol': 6.683103976795142e-05, 'selector__num_features': 5, 'selector__num_neighbors': 10299.0}}","{0: 0.3666666666666666, 1: 0.4, 2: 0.3666666666666666, 3: 0.37777777777777777}","{0: 0.0022692128921085156, 1: 0.00022805212620027426, 2: 0.00016228502760489336, 3: 0.0003961047058690167}","{0: 0.35, 1: 0.3595505617977528, 2: 0.3651685393258427, 3: 0.3707865168539326}","{0: 0.0002622424216919859, 1: 0.0006778044298559402, 2: 0.00011966246242688958, 3: 0.00031572408535661503}"
6,0,"{'clf__C': 50380.86110162918, 'clf__gamma': 0.018455350023471363, 'clf__random_state': 112, 'clf__shrinking': 1, 'clf__tol': 1.2880546150944655e-05, 'selector__k': 6.0, 'selector__num_features': 4}",0.6017476847295693,0.6033333333333333,"(0.5567375886524821, 0.6458437033349925)",0.030101654330813972,"{0: {'clf__C': 63947.23501959493, 'clf__coef0': 0.0, 'clf__gamma': 0.0035174467501028345, 'clf__kernel': 'rbf', 'clf__random_state': 41, 'clf__shrinking': False, 'clf__tol': 0.009051658320936413, 'selector__k': 9, 'selector__num_features': 3}, 1: {'clf__C': 337.3190477649155, 'clf__coef0': 0.0, 'clf__gamma': 1.4399946248005626e-06, 'clf__kernel': 'rbf', 'clf__random_state': 728, 'clf__shrinking': True, 'clf__tol': 4.018788313836591e-05, 'selector__k': 8, 'selector__num_features': 3}, 2: {'clf__C': 0.0004244484521476261, 'clf__coef0': 0.0, 'clf__gamma': 4.177370801119848e-05, 'clf__kernel': 'rbf', 'clf__random_state': 709, 'clf__shrinking': False, 'clf__tol': 0.005312697900208308, 'selector__k': 12, 'selector__num_features': 3}, 3: {'clf__C': 50380.86110162918, 'clf__coef0': 0.0, 'clf__gamma': 0.0006151783341157121, 'clf__kernel': 'rbf', 'clf__random_state': 112, 'clf__shrinking': True, 'clf__tol': 1.2880546150944655e-05, 'selector__k': 6, 'selector__num_features': 4}}","{0: 0.3977272727272728, 1: 0.47777777777777775, 2: 0.48863636363636365, 3: 0.36363636363636365}","{0: 0.004774186874355224, 1: 0.0005212620027434824, 2: 0.0007669427155959115, 3: 0.0027006314548402043}","{0: 0.2865168539325843, 1: 0.449438202247191, 2: 0.4943820224719101, 3: 0.3089887640449438}","{0: 1.3965931405274265e-05, 1: 0.000681810900474838, 2: 0.0008495163747493482, 3: 0.00016366090451854106}"
7,1,"{'clf__C': 130.04121453013252, 'clf__gamma': 0.348933925430436, 'clf__random_state': 249, 'clf__shrinking': 0, 'clf__tol': 0.008272560126781237, 'selector__k': 12.0, 'selector__num_features': 4}",0.6129140008298182,0.638324420677362,"(0.4951219512195122, 0.6527272727272727)",0.05930731178167356,"{0: {'clf__C': 130.04121453013252, 'clf__coef0': 0.0, 'clf__gamma': 0.0116311308476812, 'clf__kernel': 'rbf', 'clf__random_state': 249, 'clf__shrinking': False, 'clf__tol': 0.008272560126781237, 'selector__k': 12, 'selector__num_features': 4}, 1: {'clf__C': 7749.149680983517, 'clf__coef0': 0.0, 'clf__gamma': 0.0010111377691829205, 'clf__kernel': 'rbf', 'clf__random_state': 163, 'clf__shrinking': False, 'clf__tol': 0.00013510630867871886, 'selector__k': 3, 'selector__num_features': 4}, 2: {'clf__C': 2.749734943636558e-05, 'clf__coef0': 0.0, 'clf__gamma': 0.03344912788182977, 'clf__kernel': 'rbf', 'clf__random_state': 340, 'clf__shrinking': True, 'clf__tol': 0.00020152318508322045, 'selector__k': 2, 'selector__num_features': 9}, 3: {'clf__C': 0.005622473191182968, 'clf__coef0': 0.0, 'clf__gamma': 0.0003774459793224259, 'clf__kernel': 'rbf', 'clf__random_state': 814, 'clf__shrinking': False, 'clf__tol': 1.0215934822362304e-05, 'selector__k': 10, 'selector__num_features': 2}}","{0: 0.3555555555555556, 1: 0.36363636363636365, 2: 0.37777777777777777, 3: 0.48888888888888893}","{0: 0.0051542926458751385, 1: 0.0013613123377433178, 2: 0.0022587406047002, 3: 0.0012371328322506791}","{0: 0.31666666666666665, 1: 0.3222222222222222, 2: 0.3707865168539326, 3: 0.4831460674157303}","{0: 0.00470409958837345, 1: 0.0013655977607405397, 2: 0.0004636742911698864, 3: 0.00016916363215698882}"
8,0,"{'clf__bootstrap': 1, 'clf__criterion': 1, 'clf__max_depth': 0, 'clf__max_features': 3, 'clf__max_features.frac': 0.9071947163471131, 'clf__min_samples_leaf': 0, 'clf__n_estimators': 972.0, 'clf__random_state': 693, 'selector__bootstrap': 1, 'selector__criterion': 0, 'selector__max_depth': 3, 'selector__max_features': 2, 'selector__min_samples_leaf': 0, 'selector__n_estimators': 1414.0, 'selector__random_state': 107}",0.6598525218300955,0.6444444444444444,"(0.6090094574415132, 0.7086409031697785)",0.03650300847681321,"{0: {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 18, 'clf__min_samples_split': 2, 'clf__n_estimators': 1978, 'clf__random_state': 751, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 93, 'selector__random_state': 236}, 1: {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__max_features': 0.9071947163471131, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 972, 'clf__random_state': 693, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': 4, 'selector__max_features': None, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 1414, 'selector__random_state': 107}, 2: {'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__max_features': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 46, 'clf__random_state': 912, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.7727247346328644, 'selector__min_samples_leaf': 37, 'selector__min_samples_split': 2, 'selector__n_estimators': 126, 'selector__random_state': 301}, 3: {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__max_features': 0.6780456764169303, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 54, 'clf__random_state': 709, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.34212702531355066, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 115, 'selector__random_state': 900}}","{0: 0.37777777777777766, 1: 0.3068181818181819, 2: 0.3555555555555556, 3: 0.3333333333333335}","{0: 0.0015791047398791447, 1: 0.004085651690870546, 2: 0.0050274348422496605, 3: 0.0071394217143375335}","{0: 0.22777777777777786, 1: 0.0, 2: 0.0, 3: 0.016853932584269704}","{0: 0.0011702504966309096, 1: 0.0, 2: 0.0, 3: 0.004935002006265927}"
9,1,"{'clf__bootstrap': 1, 'clf__criterion': 0, 'clf__max_depth': 0, 'clf__max_features': 3, 'clf__max_features.frac': 0.93643192230702, 'clf__min_samples_leaf': 0, 'clf__n_estimators': 80.0, 'clf__random_state': 987, 'selector__bootstrap': 1, 'selector__criterion': 0, 'selector__max_depth': 0, 'selector__max_features': 0, 'selector__min_samples_leaf': 0, 'selector__n_estimators': 2269.0, 'selector__random_state': 132}",0.5744130845750275,0.5772727272727273,"(0.5224586288416075, 0.6248780487804878)",0.03409400813439924,"{0: {'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__max_features': 0.93643192230702, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80, 'clf__random_state': 987, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 2269, 'selector__random_state': 132}, 1: {'clf__bootstrap': False, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 414, 'clf__random_state': 482, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': None, 'selector__min_samples_leaf': 6, 'selector__min_samples_split': 2, 'selector__n_estimators': 147, 'selector__random_state': 735}, 2: {'clf__bootstrap': False, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__max_features': 0.705889506045329, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 2, 'clf__n_estimators': 29, 'clf__random_state': 735, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.0439290832716116, 'selector__min_samples_leaf': 2, 'selector__min_samples_split': 2, 'selector__n_estimators': 209, 'selector__random_state': 734}, 3: {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__max_features': 0.9133021075574501, 'clf__min_samples_leaf': 12, 'clf__min_samples_split': 2, 'clf__n_estimators': 106, 'clf__random_state': 656, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.6868599301873679, 'selector__min_samples_leaf': 22, 'selector__min_samples_split': 2, 'selector__n_estimators': 720, 'selector__random_state': 898}}","{0: 0.3111111111111111, 1: 0.3522727272727273, 2: 0.38888888888888884, 3: 0.3666666666666667}","{0: 0.005324981011007948, 1: 0.009469286013898804, 2: 0.007638166173519721, 3: 0.0033745422802661865}","{0: 0.0, 1: 0.07222222222222219, 2: 0.1179775280898877, 3: 0.2865168539325842}","{0: 6.858710562414218e-06, 1: 0.00865326564155744, 2: 0.0001774424014648068, 3: 0.001074219023972841}"
